model,scheduler,img_res,initial_lr,augmentation,max_train_acc,max_val_acc,test_acc
v0.2,cosine,30,0.002,simple,0.9556518793106079,0.7880101799964905,0.9076849489795918
v0.2,cosine,30,0.002,simple,0.9557936191558838,0.7964285612106323,0.90625
v0.4,cosine,30,0.002,simple,0.9430134296417236,0.8239796161651611,0.9148596938775512
v0.4,cosine,30,0.002,simple,0.93949955701828,0.8176020383834839,0.9040975765306124
v0.4,cosine,30,0.002,simple,0.9440618753433228,0.8188775777816772,0.9142219387755104
v0.4,cosine,30,0.002,simple,0.9437502026557922,0.8234694004058838,0.9106345663265306
v0.4,cosine,30,0.002,simple,0.9417948722839355,0.8255102038383484,0.9091198979591836
v1,cosine,30,0.002,simple,0.8743517994880676,0.7306122183799744,0.8894292091836735
v1,cosine,30,0.002,simple,0.8732466101646423,0.7285714149475098,0.890625
v1,cosine,30,0.002,simple,0.8698461055755615,0.7482143044471741,0.8883928571428571
v1,cosine,30,0.002,simple,0.8712063431739807,0.7474489808082581,0.8837691326530613
v1,cosine,30,0.002,simple,0.872028112411499,0.7446428537368774,0.8931760204081632
v2,cosine,30,0.002,simple,0.7214713096618652,0.5696428418159485,0.7731983418367347
v2,cosine,30,0.002,simple,0.7277621626853943,0.5785714387893677,0.7815688775510204
v2,cosine,30,0.002,simple,0.7233982086181641,0.5561224222183228,0.7775031887755103
v2,cosine,30,0.002,simple,0.7300291657447815,0.5732142925262451,0.7959980867346939
v2,cosine,30,0.002,simple,0.7321828603744507,0.5862244963645935,0.8006218112244897
v3,cosine,30,0.002,simple,0.8271699547767639,0.672448992729187,0.8524394132653061
v3,cosine,30,0.002,simple,0.837428092956543,0.6780612468719482,0.8532366071428572
v3,cosine,30,0.002,simple,0.8380231857299805,0.6826530694961548,0.8542729591836735
v3,cosine,30,0.002,simple,0.8351327776908875,0.6706632375717163,0.8483737244897959
v3,cosine,30,0.002,simple,0.8381648659706116,0.6877551078796387,0.8610491071428572
mod,cosine,30,0.002,simple,0.722066342830658,0.7420918345451355,0.8742825255102041
mod,cosine,30,0.002,simple,0.6736093163490295,0.6923469305038452,0.8447066326530613
mod,cosine,30,0.002,simple,0.7063957452774048,0.7232142686843872,0.8706154336734694
mod,cosine,30,0.002,simple,0.6766981482505798,0.6885204315185547,0.8451052295918368
mod,cosine,30,0.002,simple,0.7116382122039795,0.7112244963645935,0.8705357142857143
mod_bn,cosine,30,0.002,simple,0.8154098987579346,0.8160714507102966,0.9232302295918368
mod_bn,cosine,30,0.002,simple,0.7939301133155823,0.8063775300979614,0.9202008928571428
mod_bn,cosine,30,0.002,simple,0.8173651695251465,0.8081632852554321,0.922592474489796
mod_bn,cosine,30,0.002,simple,0.8073337078094482,0.8127551078796387,0.9237085459183674
mod_bn,cosine,30,0.002,simple,0.8018362522125244,0.784949004650116,0.9220344387755104
kaggle,cosine,30,0.002,simple,0.8305987715721129,0.7841836810112,0.9205994897959184
kaggle,cosine,30,0.002,simple,0.8773272037506104,0.8349489569664001,0.9287308673469388
kaggle,cosine,30,0.002,simple,0.811924397945404,0.7765306234359741,0.9061702806122448
kaggle,cosine,30,0.002,simple,0.8634135127067566,0.8102040886878967,0.928970025510204
kaggle,cosine,30,0.002,simple,0.8617416024208069,0.828316330909729,0.9290497448979592
mini,constant,50,0.001,simple,0.8442574143409729,0.6489796042442322,0.8573820153061225
mini,constant,50,0.001,simple,0.7585933208465576,0.5489795804023743,0.7855548469387756
mini,constant,50,0.001,simple,0.7582815885543823,0.5443877577781677,0.7988679846938775
mini,constant,50,0.001,simple,0.7624472379684448,0.5543367266654968,0.7952008928571428
mini,constant,50,0.001,simple,0.7822551131248474,0.5760204195976257,0.8128188775510204
v0,constant,50,0.001,simple,0.954093337059021,0.7844387888908386,0.9113520408163264
v0,constant,50,0.001,simple,0.9596474766731262,0.7982142567634583,0.9090401785714286
v0,constant,50,0.001,simple,0.9711241722106934,0.809183657169342,0.9219547193877552
v0,constant,50,0.001,simple,0.9580889344215392,0.7989795804023743,0.9074457908163264
v0,constant,50,0.001,simple,0.9662217497825624,0.8145408034324646,0.9091996173469388
v0.1,constant,50,0.001,simple,0.8925727605819702,0.719132661819458,0.8731664540816326
v0.1,constant,50,0.001,simple,0.8657088875770569,0.7028061151504517,0.8579400510204082
v0.1,constant,50,0.001,simple,0.8844398856163025,0.7147959470748901,0.8700573979591837
v0.1,constant,50,0.001,simple,0.8857150673866272,0.7229591608047485,0.8635204081632653
v0.1,constant,50,0.001,simple,0.884128212928772,0.7270408272743225,0.8624840561224489
v0.2,constant,50,0.001,simple,0.9493893384933472,0.7581632733345032,0.8960459183673469
v0.2,constant,50,0.001,simple,0.9546317458152772,0.7780612111091614,0.9107940051020408
v0.2,constant,50,0.001,simple,0.9496443867683412,0.7793367505073547,0.9005899234693877
v0.2,constant,50,0.001,simple,0.9644931554794312,0.8132653236389159,0.9154974489795918
v0.2,constant,50,0.001,simple,0.9601008892059326,0.7954081892967224,0.9079241071428572
v0.4,constant,50,0.001,simple,0.937402606010437,0.7989795804023743,0.9025031887755104
v0.4,constant,50,0.001,simple,0.9499560594558716,0.8334183692932129,0.9163743622448979
v0.4,constant,50,0.001,simple,0.9536399245262146,0.8216836452484131,0.9127072704081632
v0.4,constant,50,0.001,simple,0.9151293635368348,0.7780612111091614,0.8925382653061225
v0.4,constant,50,0.001,simple,0.9457337856292723,0.8239796161651611,0.9133450255102041
v1,constant,50,0.001,simple,0.892289400100708,0.6706632375717163,0.8581792091836735
v1,constant,50,0.001,simple,0.8775822520256042,0.657397985458374,0.8416772959183674
v1,constant,50,0.001,simple,0.8820028901100159,0.6739795804023743,0.8485331632653061
v1,constant,50,0.001,simple,0.8481963276863098,0.5739796161651611,0.8156887755102041
v1,constant,50,0.001,simple,0.9213352799415588,0.7596938610076904,0.9072066326530612
v2,constant,50,0.001,simple,0.740372359752655,0.4900510311126709,0.7213010204081632
v2,constant,50,0.001,simple,0.6584488153457642,0.3954081535339356,0.5954241071428572
v2,constant,50,0.001,simple,0.6710022687911987,0.4265305995941162,0.6579241071428572
v2,constant,50,0.001,simple,0.7549378275871277,0.5022959113121033,0.7346938775510203
v2,constant,50,0.001,simple,0.7580832839012146,0.5096938610076904,0.7423469387755103
v3,constant,50,0.001,simple,0.7872424721717834,0.6017857193946838,0.8048469387755103
v3,constant,50,0.001,simple,0.7945252060890198,0.6221938729286194,0.8003826530612244
v3,constant,50,0.001,simple,0.7678880095481873,0.5928571224212646,0.7886639030612244
v3,constant,50,0.001,simple,0.7643741965293884,0.5793367624282837,0.7831632653061225
v3,constant,50,0.001,simple,0.8371447324752808,0.6795918345451355,0.8479751275510204
mod,constant,50,0.001,simple,0.8938762545585632,0.844897985458374,0.9402104591836736
mod,constant,50,0.001,simple,0.8970500826835632,0.8596938848495483,0.9417251275510204
mod,constant,50,0.001,simple,0.8866502046585083,0.844897985458374,0.9363839285714286
mod,constant,50,0.001,simple,0.8898523449897766,0.8642857074737549,0.9411670918367347
mod,constant,50,0.001,simple,0.8707245588302612,0.8525510430335999,0.9333545918367347
mod_bn,constant,50,0.001,simple,0.9425033330917358,0.9147959351539612,0.9581473214285714
mod_bn,constant,50,0.001,simple,0.9562753438949584,0.9188775420188904,0.96484375
mod_bn,constant,50,0.001,simple,0.924764096736908,0.8869897723197937,0.9556760204081632
mod_bn,constant,50,0.001,simple,0.9529882073402404,0.9201530814170836,0.9665975765306124
mod_bn,constant,50,0.001,simple,0.9493326544761658,0.9250000119209292,0.9610969387755104
kaggle,constant,50,0.001,simple,0.8773838877677917,0.8206632733345032,0.9233896683673468
kaggle,constant,50,0.001,simple,0.8541188240051271,0.8137755393981934,0.9074457908163264
kaggle,constant,50,0.001,simple,0.8667573332786559,0.8464285731315613,0.9241868622448979
kaggle,constant,50,0.001,simple,0.8552240133285522,0.8150510191917419,0.913185586734694
kaggle,constant,50,0.001,simple,0.8775822520256042,0.8321428298950195,0.9255420918367347
mini,cosine,50,0.002,simple,0.8574626445770264,0.6535714268684387,0.8655133928571428
mini,cosine,50,0.002,simple,0.8610898852348328,0.6535714268684387,0.8702168367346939
mini,cosine,50,0.002,simple,0.8635835647583008,0.6645408272743225,0.8730070153061225
mini,cosine,50,0.002,simple,0.8188670873641968,0.5834183692932129,0.8139349489795918
mini,cosine,50,0.002,simple,0.8644620180130005,0.6602040529251099,0.8696588010204082
v0,cosine,50,0.002,simple,0.9848678112030028,0.8693877458572388,0.9352678571428572
v0,cosine,50,0.002,simple,0.983422577381134,0.8579081892967224,0.938217474489796
v0,cosine,50,0.002,simple,0.9842727184295654,0.8573979735374451,0.9292889030612244
v0,cosine,50,0.002,simple,0.983422577381134,0.859183669090271,0.9306441326530612
v0,cosine,50,0.002,simple,0.9845277667045592,0.859948992729187,0.939811862244898
v0.1,cosine,50,0.002,simple,0.923347234725952,0.7602040767669678,0.9038584183673468
v0.1,cosine,50,0.002,simple,0.9245657324790956,0.7785714268684387,0.8957270408163265
v0.1,cosine,50,0.002,simple,0.830967128276825,0.5211734771728516,0.7346141581632653
v0.1,cosine,50,0.002,simple,0.9212502241134644,0.7757652997970581,0.8931760204081632
v0.1,cosine,50,0.002,simple,0.8141347169876099,0.5428571701049805,0.7621173469387756
v0.2,cosine,50,0.002,simple,0.9807872176170348,0.8466836810112,0.9305644132653059
v0.2,cosine,50,0.002,simple,0.9803054928779602,0.8420918583869934,0.9297672193877552
v0.2,cosine,50,0.002,simple,0.9809572100639344,0.842602014541626,0.9280133928571428
v0.2,cosine,50,0.002,simple,0.9452520608901978,0.7321428656578064,0.8640784438775511
v0.2,cosine,50,0.002,simple,0.9801071286201476,0.8392857313156128,0.9303252551020408
v0.4,cosine,50,0.002,simple,0.974864661693573,0.8831632733345032,0.9371811224489796
v0.4,cosine,50,0.002,simple,0.9710108041763306,0.8619897961616516,0.9365433673469388
v0.4,cosine,50,0.002,simple,0.9759131669998168,0.8744897842407227,0.9358258928571428
v0.4,cosine,50,0.002,simple,0.9750630259513856,0.8711734414100647,0.9358258928571428
v0.4,cosine,50,0.002,simple,0.9726543426513672,0.8688775300979614,0.9304846938775512
v1,cosine,50,0.002,simple,0.9403213262557985,0.7961734533309937,0.9164540816326532
v1,cosine,50,0.002,simple,0.8961432576179504,0.6505101919174194,0.8577008928571428
v1,cosine,50,0.002,simple,0.9437218308448792,0.7933673262596129,0.9170918367346941
v1,cosine,50,0.002,simple,0.9437502026557922,0.8000000119209291,0.9228316326530612
v1,cosine,50,0.002,simple,0.9411714673042296,0.8017857074737549,0.9128667091836736
v2,cosine,50,0.002,simple,0.8019496202468872,0.5530612468719482,0.7716039540816326
v2,cosine,50,0.002,simple,0.8205673098564148,0.5469387769699097,0.7739955357142857
v2,cosine,50,0.002,simple,0.8102241754531859,0.5627551078796387,0.8062021683673469
v2,cosine,50,0.002,simple,0.8141630291938782,0.5553571581840515,0.7844387755102041
v2,cosine,50,0.002,simple,0.8186970353126526,0.550000011920929,0.7679368622448979
v3,cosine,50,0.002,simple,0.8627617955207825,0.7117347121238708,0.8620854591836735
v3,cosine,50,0.002,simple,0.8694493770599365,0.7102040648460388,0.8702168367346939
v3,cosine,50,0.002,simple,0.8698744773864746,0.718367338180542,0.8682238520408163
v3,cosine,50,0.002,simple,0.8664739727973938,0.6977040767669678,0.8508450255102041
v3,cosine,50,0.002,simple,0.866644024848938,0.7099489569664001,0.8573820153061225
mod,cosine,50,0.002,simple,0.8937629461288452,0.8525510430335999,0.9429209183673468
mod,cosine,50,0.002,simple,0.8927144408226013,0.8515306115150452,0.9397321428571428
mod,cosine,50,0.002,simple,0.8881521224975586,0.8538265228271484,0.9363042091836736
mod,cosine,50,0.002,simple,0.8860551714897156,0.8561224341392517,0.9359853316326532
mod,cosine,50,0.002,simple,0.9035109877586364,0.859948992729187,0.9439572704081632
mod_bn,cosine,50,0.002,simple,0.9534132480621338,0.9160714149475098,0.9716198979591836
mod_bn,cosine,50,0.002,simple,0.9508345127105712,0.9186224341392516,0.9668367346938777
mod_bn,cosine,50,0.002,simple,0.9557652473449708,0.9301020503044128,0.9662786989795918
mod_bn,cosine,50,0.002,simple,0.9509195685386658,0.9275510311126708,0.9681122448979592
mod_bn,cosine,50,0.002,simple,0.9605259299278259,0.933163285255432,0.969467474489796
kaggle,cosine,50,0.002,simple,0.8289268612861633,0.7846938967704773,0.8973214285714286
kaggle,cosine,50,0.002,simple,0.8152965307235718,0.7721938490867615,0.8932557397959183
kaggle,cosine,50,0.002,simple,0.7934200167655945,0.7479591965675354,0.8707748724489796
kaggle,cosine,50,0.002,simple,0.8226642608642578,0.7803571224212646,0.9004304846938775
kaggle,cosine,50,0.002,simple,0.7947235703468323,0.7426020503044128,0.8732461734693877
mod_bn_reg,constant,30,0.001,simple,0.852957010269165,0.8377550840377808,0.948341836734694
mod_bn_reg,constant,30,0.001,simple,0.7840403318405151,0.8020408153533936,0.9141422193877552
mod_bn_reg,constant,30,0.001,simple,0.7755957841873169,0.7716836929321289,0.9109534438775512
mod_bn_reg,constant,30,0.001,simple,0.8319306373596191,0.8196428418159485,0.9248246173469388
mod_bn_reg,constant,30,0.001,simple,0.8324690461158752,0.8191326260566711,0.9375
mod_bn_reg,constant,50,0.001,simple,0.9311400055885316,0.90229594707489,0.9523278061224488
mod_bn_reg,constant,50,0.001,simple,0.9437502026557922,0.8971938490867615,0.9595822704081632
mod_bn_reg,constant,50,0.001,simple,0.9548301100730896,0.925765335559845,0.9640465561224488
mod_bn_reg,constant,50,0.001,simple,0.9348805546760559,0.9061224460601808,0.9540816326530612
mod_bn_reg,constant,50,0.001,simple,0.9363541007041932,0.905867338180542,0.9544005102040816
mod_bn_reg,cosine,30,0.002,simple,0.8256397247314453,0.8153061270713806,0.9364636479591836
mod_bn_reg,cosine,30,0.002,simple,0.8213040828704834,0.8165816068649292,0.9418845663265306
mod_bn_reg,cosine,30,0.002,simple,0.8239678144454956,0.8267857432365417,0.9381377551020408
mod_bn_reg,cosine,30,0.002,simple,0.8009294867515564,0.8117346763610841,0.9255420918367347
mod_bn_reg,cosine,30,0.002,simple,0.8177618980407715,0.8178571462631226,0.9343112244897959
mod_bn_reg,cosine,50,0.002,simple,0.9565303921699524,0.9262754917144777,0.9621332908163264
mod_bn_reg,cosine,50,0.002,simple,0.9590523838996888,0.9413265585899352,0.9729751275510204
mod_bn_reg,cosine,50,0.002,simple,0.952789843082428,0.9178571701049804,0.9602997448979592
mod_bn_reg,cosine,50,0.002,simple,0.9559919238090516,0.9270408153533936,0.9673150510204082
mod_bn_reg,cosine,50,0.002,simple,0.9494460225105286,0.9285714030265808,0.9587850765306124
mini_2,cosine,30,0.002,simple,0.7673496007919312,0.6977040767669678,0.7529198232323232
mini_2,cosine,30,0.002,simple,0.7570347785949707,0.684183657169342,0.7495265151515151
mini_2,cosine,30,0.002,simple,0.7605485916137695,0.6971938610076904,0.7599431818181819
mini_2,cosine,30,0.002,simple,0.7585083246231079,0.699999988079071,0.7558396464646464
mini_2,cosine,30,0.002,simple,0.7650542855262756,0.7084183692932129,0.7697285353535354
v0.3,cosine,30,0.002,simple,0.9695088863372804,0.8492347002029419,0.9182449494949496
v0.3,cosine,30,0.002,simple,0.9702740311622621,0.8464285731315613,0.9284248737373736
v0.3,cosine,30,0.002,simple,0.9696222543716432,0.8494898080825806,0.9195075757575758
v0.3,cosine,30,0.002,simple,0.9688854813575744,0.8538265228271484,0.9239267676767676
v0.3,cosine,30,0.002,simple,0.9706990718841552,0.8492347002029419,0.9247159090909092
mini_2,constant,30,0.001,simple,0.7477400898933411,0.6903061270713806,0.7695707070707072
mini_2,constant,30,0.001,simple,0.6774632334709167,0.6326530575752258,0.6817392676767677
mini_2,constant,30,0.001,simple,0.7083793878555298,0.6487244963645935,0.7148832070707072
mini_2,constant,30,0.001,simple,0.7240782976150513,0.6678571701049805,0.7283775252525253
mini_2,constant,30,0.001,simple,0.747995138168335,0.6892856955528259,0.7402935606060607
v0.3,constant,30,0.001,simple,0.950806200504303,0.8153061270713806,0.9109059343434344
v0.3,constant,30,0.001,simple,0.936750829219818,0.7989795804023743,0.9070391414141414
v0.3,constant,30,0.001,simple,0.9364674687385559,0.7839285731315613,0.901751893939394
v0.3,constant,30,0.001,simple,0.9429850578308104,0.7897959351539612,0.8986742424242425
v0.3,constant,30,0.001,simple,0.9501827955245972,0.8130102157592773,0.912957702020202
mini_2,cosine,50,0.002,simple,0.8155799508094788,0.7528061270713806,0.8899147727272727
mini_2,cosine,50,0.002,simple,0.8056617975234985,0.7415816187858582,0.8763415404040404
mini_2,cosine,50,0.002,simple,0.8098274469375609,0.7584183812141418,0.8781565656565656
mini_2,cosine,50,0.002,simple,0.8215874433517456,0.7505102157592773,0.8835227272727273
mini_2,cosine,50,0.002,simple,0.8182436227798462,0.7387754917144775,0.8832070707070707
v0.3,cosine,50,0.002,simple,0.9586556553840636,0.8344388008117676,0.9143781565656566
v0.3,cosine,50,0.002,simple,0.989345133304596,0.8974489569664001,0.9465751262626264
v0.3,cosine,50,0.002,simple,0.9883533120155334,0.8989796042442322,0.9500473484848484
v0.3,cosine,50,0.002,simple,0.9886650443077089,0.8982142806053162,0.9464962121212122
v0.3,cosine,50,0.002,simple,0.987503170967102,0.8974489569664001,0.949810606060606
mini_2,constant,50,0.001,simple,0.7851171493530273,0.7321428656578064,0.8683712121212122
mini_2,constant,50,0.001,simple,0.7779477834701538,0.7079081535339355,0.8535353535353536
mini_2,constant,50,0.001,simple,0.7904163002967834,0.7112244963645935,0.8234690656565656
mini_2,constant,50,0.001,simple,0.7821417450904846,0.7239795923233032,0.8617424242424243
mini_2,constant,50,0.001,simple,0.778117835521698,0.6890305876731873,0.8607165404040404
v0.3,constant,50,0.001,simple,0.9825724959373474,0.8869897723197937,0.9377367424242424
v0.3,constant,50,0.001,simple,0.9831392168998718,0.8852040767669678,0.9386837121212122
v0.3,constant,50,0.001,simple,0.974893033504486,0.8558673262596129,0.9309501262626264
v0.3,constant,50,0.001,simple,0.9712941646575928,0.8551020622253418,0.9228219696969696
v0.3,constant,50,0.001,simple,0.9745813012123108,0.8553571701049805,0.9279513888888888
mod_bn_reg,cosine,50,0.002,v1,0.6288068294525146,0.9640625119209292,0.9862689393939392
mod_bn_reg,cosine,50,0.002,v1,0.6281818151473999,0.9578124880790708,0.985479797979798
mod_bn_reg,cosine,50,0.002,v1,0.6259375214576721,0.9562500119209292,0.9853219696969696
mod_bn_reg,cosine,50,0.002,v1,0.5789488554000854,0.9210937619209292,0.976010101010101
mod_bn_reg,cosine,50,0.002,v1,0.6189488768577576,0.9510416388511658,0.9835069444444444
mod_bn_reg,constant,30,0.002,v1,0.10000000149011612,0.0,0.0
mod_bn_reg,constant,30,0.002,v1,0.019999999552965164,0.0,0.0
mod_bn_reg,constant,30,0.002,v1,0.0,0.0,0.0
mod_bn_reg,constant,30,0.002,v1,0.019999999552965164,0.0,0.0
mod_bn_reg,cosine,30,0.002,v1,0.019999999552965164,0.0,0.0
mod_bn_reg,cosine,50,0.002,v1,0.6413636207580566,0.9606770873069764,0.9868213383838385
kaggle,constant,50,0.001,v1,0.5604545474052429,0.9598958492279052,0.9753787878787878
kaggle,constant,50,0.001,v1,0.5594602227210999,0.9705728888511658,0.9772727272727272
kaggle,constant,50,0.001,v1,0.5296022891998291,0.9135416746139526,0.9605429292929292
kaggle,constant,50,0.001,v1,0.5411931872367859,0.9604166746139526,0.968197601010101
kaggle,constant,50,0.001,v1,0.5484374761581421,0.9437500238418579,0.9761679292929292
mod_bn_reg,cosine,50,0.005,v1,0.5522159337997437,0.9106770753860474,0.9672506313131312
mod_bn_reg,cosine,50,0.005,v1,0.6617045402526855,0.9833333492279053,0.9885574494949495
